1000 1000 0.350000 0.400000 0.140000 0.050000    0.0201    0.0147    0.0161    0.0056
1000 1000 0.360000 0.400000 0.140000 0.050000    0.0204    0.0153    0.0160    0.0056
1000 1000 0.370000 0.400000 0.140000 0.050000    0.0204    0.0152    0.0160    0.0054
1000 1000 0.380000 0.400000 0.140000 0.050000    0.0209    0.0159    0.0167    0.0053
1000 1000 0.390000 0.400000 0.140000 0.050000    0.0208    0.0162    0.0168    0.0054
1000 1000 0.400000 0.400000 0.140000 0.050000    0.0209    0.0160    0.0169    0.0053
1000 1000 0.410000 0.400000 0.140000 0.050000    0.0203    0.0159    0.0175    0.0050
1000 1000 0.420000 0.400000 0.140000 0.050000    0.0212    0.0164    0.0180    0.0055
1000 1000 0.430000 0.400000 0.140000 0.050000    0.0212    0.0167    0.0183    0.0051
1000 1000 0.440000 0.400000 0.140000 0.050000    0.0219    0.0168    0.0193    0.0054
1000 1000 0.450000 0.400000 0.140000 0.050000    0.0216    0.0171    0.0189    0.0051
1000 1000 0.460000 0.400000 0.140000 0.050000    0.0221    0.0175    0.0203    0.0053
1000 1000 0.470000 0.400000 0.140000 0.050000    0.0223    0.0181    0.0208    0.0052
1000 1000 0.480000 0.400000 0.140000 0.050000    0.0227    0.0180    0.0204    0.0052
1000 1000 0.490000 0.400000 0.140000 0.050000    0.0228    0.0183    0.0222    0.0051
1000 1000 0.500000 0.400000 0.140000 0.050000    0.0239    0.0190    0.0222    0.0051
1000 1000 0.510000 0.400000 0.140000 0.050000    0.0220    0.0183    0.0222    0.0050
1000 1000 0.520000 0.400000 0.140000 0.050000    0.0238    0.0182    0.0233    0.0051
1000 1000 0.530000 0.400000 0.140000 0.050000    0.0227    0.0184    0.0238    0.0049
1000 1000 0.540000 0.400000 0.140000 0.050000    0.0237    0.0193    0.0230    0.0052
1000 1000 0.550000 0.400000 0.140000 0.050000    0.0239    0.0194    0.0251    0.0049
1000 1000 0.560000 0.400000 0.140000 0.050000    0.0254    0.0187    0.0260    0.0051
1000 1000 0.570000 0.400000 0.140000 0.050000    0.0254    0.0188    0.0262    0.0048
1000 1000 0.580000 0.400000 0.140000 0.050000    0.0252    0.0195    0.0269    0.0049
1000 1000 0.590000 0.400000 0.140000 0.050000    0.0259    0.0200    0.0276    0.0048
1000 1000 0.600000 0.400000 0.140000 0.050000    0.0263    0.0203    0.0284    0.0051
1000 1000 0.610000 0.400000 0.140000 0.050000    0.0266    0.0194    0.0290    0.0049
1000 1000 0.620000 0.400000 0.140000 0.050000    0.0268    0.0199    0.0293    0.0048
1000 1000 0.630000 0.400000 0.140000 0.050000    0.0280    0.0201    0.0302    0.0049
